Tip,Hesap_Adi,Tarih,Açıklama,Tutar
Banka Hesabı,QNB - Vadesiz Kobi Nakit,07/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi,14450.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,07/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi,720.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,07/08/2025,Transfer İşlemleri - Alıcı:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale Al.Hs:91739448 Mobil Bankacılı,-71325.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,08/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi,360.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,08/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi,2260.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,08/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi,11400.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,08/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi,18975.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,08/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi,310.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,08/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi,310.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,08/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin,-5.89
Banka Hesabı,QNB - Vadesiz Kobi Nakit,08/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV,-0.29
Banka Hesabı,QNB - Vadesiz Kobi Nakit,08/08/2025,Transfer İşlemleri - Alıcı:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale Al.Hs:91739448 Mobil Bankacılı,-33608.82
Banka Hesabı,QNB - Vadesiz Kobi Nakit,08/08/2025,Transfer İşlemleri - Gönderen: MULTINET KURUMSAL HİZMETLER A.Ş. Sorgu No: 8325707 - MULTINET  0000014225 Gümüşbulu AKBANK,39523.42
Banka Hesabı,QNB - Vadesiz Kobi Nakit,09/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi,1391.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,09/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi,18614.50
